fpl_id,fpl_name,understat_name,understat_id,normalized_name
,,Son Heung-Min,453,son heungmin
233.0,Mohamed Salah,Mohamed Salah,1250,mohamed salah
,,Cristiano Ronaldo,2371,cristiano ronaldo
357.0,Harry Kane,Harry Kane,647,harry kane
230.0,Sadio Mané,Sadio Mané,838,sadio mane
251.0,Kevin De Bruyne,Kevin De Bruyne,447,kevin de bruyne
205.0,Jamie Vardy,Jamie Vardy,755,jamie vardy
240.0,Diogo Jota,Diogo Jota,6854,diogo jota
154.0,Wilfried Zaha,Wilfried Zaha,522,wilfried zaha
255.0,Raheem Sterling,Raheem Sterling,618,raheem sterling
78.0,Ivan Toney,Ivan Toney,998,ivan toney
420.0,Jarrod Bowen,Jarrod Bowen,1776,jarrod bowen
212.0,James Maddison,James Maddison,6818,james maddison
254.0,Riyad Mahrez,Riyad Mahrez,750,riyad mahrez
22.0,Bukayo Saka,Bukayo Saka,7322,bukayo saka
315.0,Teemu Pukki,Teemu Pukki,7696,teemu pukki
138.0,Mason Mount,Mason Mount,7768,mason mount
,,Raphinha,8026,raphinha
40.0,Ollie Watkins,Ollie Watkins,8865,ollie watkins
413.0,Michail Antonio,Michail Antonio,531,michail antonio
341.0,James Ward-Prowse,James Ward-Prowse,843,james wardprowse
,,Bruno Fernandes,1228,bruno fernandes
,,Richarlison,6026,richarlison
,,Emile Smith-Rowe,7230,emile smithrowe
450.0,Emmanuel Dennis,Emmanuel Dennis,9301,emmanuel dennis
578.0,Maxwel Cornet,Maxwel Cornet,3278,maxwel cornet
265.0,Phil Foden,Phil Foden,6055,phil foden
250.0,Ilkay Gündogan,Ilkay Gündogan,314,ilkay gundogan
296.0,Callum Wilson,Callum Wilson,468,callum wilson
529.0,Romelu Lukaku,Romelu Lukaku,594,romelu lukaku
419.0,Saïd Benrahma,Said Benrahma,3585,said benrahma
63.0,Neal Maupay,Neal Maupay,3621,neal maupay
,,Bernardo Silva,3635,bernardo silva
141.0,Kai Havertz,Kai Havertz,5220,kai havertz
,,Gabriel Jesus,5543,gabriel jesus
64.0,Leandro Trossard,Leandro Trossard,7698,leandro trossard
267.0,Jack Harrison,Jack Harrison,8720,jack harrison
144.0,Conor Gallagher,Conor Gallagher,9040,conor gallagher
337.0,Danny Ings,Danny Ings,986,danny ings
,,Rodri,2496,rodri
,,Martin Odegaard,2517,martin odegaard
524.0,Yoane Wissa,Yoane Wissa,5786,yoane wissa
345.0,Che Adams,Che Adams,7700,che adams
447.0,Danny Welbeck,Danny Welbeck,501,danny welbeck
,,Jorginho,1389,jorginho
423.0,Pablo Fornals,Pablo Fornals,2335,pablo fornals
,,Rodrigo,2381,rodrigo
137.0,Christian Pulisic,Christian Pulisic,2662,christian pulisic
586.0,Odsonne Edouard,Odsonne Edouard,3697,odsonne edouard
430.0,Raúl Jiménez,Raúl Jiménez,4105,raul jimenez
587.0,Ademola Lookman,Ademola Lookman,5556,ademola lookman
210.0,Youri Tielemans,Youri Tielemans,5956,youri tielemans
215.0,Harvey Barnes,Harvey Barnes,6681,harvey barnes
,,Gabriel Martinelli,7752,gabriel martinelli
518.0,Armando Broja,Armando Broja,8384,armando broja
51.0,Jacob Ramsey,Jacob Ramsey,8941,jacob ramsey
307.0,Allan Saint-Maximin,Allan Saint-Maximin,101,allan saintmaximin
468.0,Joshua King,Joshua King,465,joshua king
228.0,Roberto Firmino,Roberto Firmino,482,roberto firmino
,,Philippe Coutinho,488,philippe coutinho
416.0,Manuel Lanzini,Manuel Lanzini,535,manuel lanzini
484.0,Demarai Gray,Demarai Gray,762,demarai gray
,,Fabinho,3420,fabinho
109.0,Chris Wood,Chris Wood,4456,chris wood
